power,memory Used,u_gpu,u_memory
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.09,55.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
41.1,22.0,0.0,0.0
