power,memory Used,u_gpu,u_memory
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
23.69,10.0,0.0,0.0
46.59,263.0,1.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
31.0,263.0,1.0,0.0
23.69,0.0,0.0,0.0
23.69,10.0,0.0,0.0
